incorrect_word,correct_word,error_type,frequency_category
abandonned,abandoned,double_consonant,common
aberation,aberration,missing_consonant,uncommon
abilty,ability,missing_vowel,common
ananimus,anonymous,letter_substitution,rare
abscence,absence,letter_substitution,common
absense,absence,letter_substitution,common
absolutly,absolutely,missing_vowel,very_common
accademic,academic,double_consonant,common
accellerate,accelerate,double_consonant,common
acceptible,acceptable,vowel_substitution,common
accesible,accessible,missing_consonant,common
accidently,accidentally,missing_vowel,very_common
accomodate,accommodate,missing_consonant,very_common
acommodate,accommodate,missing_consonant,common
accompany,accompany,correct_spelling,reference
accordian,accordion,vowel_substitution,uncommon
accross,across,double_consonant,common
acheive,achieve,vowel_order,very_common
achive,achieve,missing_vowel,common
acknowlege,acknowledge,missing_consonant,common
acknowlegement,acknowledgement,missing_consonant,common
acquaintence,acquaintance,vowel_substitution,common
acquaintance,acquaintance,correct_spelling,reference
acquited,acquitted,missing_consonant,uncommon
addictoin,addiction,letter_order,uncommon
addres,address,missing_consonant,common
adress,address,missing_consonant,very_common
advertisment,advertisement,missing_vowel,common
advise,advice,consonant_substitution,very_common
aeroplane,airplane,different_form,uncommon
afair,affair,missing_consonant,uncommon
afficionado,aficionado,double_consonant,uncommon
agressive,aggressive,missing_consonant,common
agression,aggression,missing_consonant,common
alchohol,alcohol,extra_vowel,common
alchol,alcohol,missing_vowel,common
allready,already,double_consonant,very_common
alot,a lot,word_separation,very_common
alright,all right,word_separation,common
altho,although,abbreviation,common
amature,amateur,vowel_substitution,common
amashing,amazing,consonant_substitution,uncommon
amzing,amazing,missing_vowel,common
amazng,amazing,missing_vowel,uncommon
aniversary,anniversary,missing_consonant,common
annonymous,anonymous,double_consonant,common
anual,annual,missing_consonant,common
aparent,apparent,missing_consonant,common
aparment,apartment,missing_consonant,common
apear,appear,missing_consonant,common
appearence,appearance,vowel_substitution,common
applause,applause,correct_spelling,reference
apreciate,appreciate,missing_consonant,very_common
apropriate,appropriate,missing_consonant,common
aquire,acquire,consonant_substitution,common
arguement,argument,extra_vowel,very_common
artic,arctic,missing_consonant,uncommon
artical,article,vowel_substitution,common
asthetic,aesthetic,missing_vowel,uncommon
athiest,atheist,vowel_order,common
atheletic,athletic,extra_vowel,uncommon
attatch,attach,double_consonant,common
attemp,attempt,missing_consonant,common
attendence,attendance,vowel_substitution,common
auther,author,consonant_substitution,common
availible,available,vowel_substitution,common
awsome,awesome,missing_vowel,very_common
basicaly,basically,missing_consonant,common
beacuse,because,vowel_order,very_common
becaus,because,missing_vowel,common
becuase,because,vowel_order,very_common
becouse,because,vowel_substitution,common
becasue,because,letter_order,common
becuze,because,letter_substitution,uncommon
befor,before,missing_vowel,common
begining,beginning,missing_consonant,very_common
beleive,believe,vowel_order,very_common
belive,believe,missing_vowel,common
beleve,believe,vowel_substitution,common
benfit,benefit,missing_vowel,common
beutiful,beautiful,vowel_order,common
bizzare,bizarre,double_consonant,uncommon
boundry,boundary,vowel_substitution,common
breif,brief,vowel_order,common
brillant,brilliant,missing_vowel,common
buisness,business,vowel_order,very_common
bussiness,business,double_consonant,common
busness,business,missing_vowel,common
calander,calendar,vowel_substitution,very_common
calender,calendar,vowel_substitution,common
camoflage,camouflage,missing_vowel,uncommon
campain,campaign,missing_consonant,common
carefull,careful,double_consonant,common
carrer,career,missing_vowel,common
catagory,category,vowel_substitution,common
cemetary,cemetery,vowel_substitution,common
cemetry,cemetery,missing_vowel,common
centuary,century,vowel_substitution,uncommon
ceratin,certain,letter_order,common
certian,certain,vowel_order,common
changable,changeable,missing_vowel,common
charachter,character,vowel_substitution,common
cheif,chief,vowel_order,common
choise,choice,vowel_substitution,common
cieling,ceiling,vowel_order,common
circut,circuit,missing_vowel,common
clarifiation,clarification,extra_vowel,uncommon
collegue,colleague,missing_vowel,common
colum,column,missing_consonant,common
comming,coming,double_consonant,very_common
commitee,committee,missing_consonant,common
committe,committee,missing_vowel,common
compair,compare,vowel_substitution,common
compatable,compatible,vowel_substitution,common
competant,competent,vowel_substitution,common
compleatly,completely,vowel_substitution,common
concious,conscious,missing_consonant,common
concensus,consensus,vowel_substitution,common
concieted,conceited,missing_vowel,uncommon
conection,connection,missing_consonant,common
confindence,confidence,vowel_substitution,common
congradulations,congratulations,vowel_substitution,common
conquer,conquer,correct_spelling,reference
consciense,conscience,vowel_substitution,uncommon
consious,conscious,missing_consonant,common
contraversy,controversy,vowel_substitution,uncommon
convience,convenience,vowel_order,common
coresponding,corresponding,missing_consonant,common
critisism,criticism,vowel_substitution,common
curiousity,curiosity,extra_vowel,common
decison,decision,missing_vowel,common
definate,definite,vowel_substitution,very_common
definately,definitely,vowel_substitution,very_common
definatly,definitely,vowel_substitution,very_common
defintely,definitely,vowel_order,very_common
defintly,definitely,vowel_order,common
defiantly,definitely,word_confusion,common
delicious,delicious,correct_spelling,reference
dependant,dependent,vowel_substitution,common
desicion,decision,vowel_substitution,common
desparate,desperate,vowel_substitution,common
deterant,deterrent,missing_consonant,uncommon
develope,develop,extra_vowel,common
developement,development,extra_vowel,common
diference,difference,missing_consonant,common
diffrent,different,missing_vowel,very_common
dilema,dilemma,missing_consonant,common
dinning,dining,double_consonant,common
disapear,disappear,missing_consonant,common
disapoint,disappoint,missing_consonant,common
disasterous,disastrous,extra_vowel,common
discription,description,consonant_substitution,common
disobediance,disobedience,vowel_substitution,uncommon
doesnt,doesn't,missing_apostrophe,very_common
dont,don't,missing_apostrophe,very_common
droped,dropped,missing_consonant,common
ecstacy,ecstasy,vowel_substitution,uncommon
efficency,efficiency,vowel_substitution,common
eigth,eighth,missing_consonant,common
embarass,embarrass,missing_consonant,common
embaress,embarrass,vowel_substitution,common
emergancy,emergency,vowel_substitution,common
emmediately,immediately,double_consonant,common
envirornment,environment,extra_consonant,common
enviornment,environment,letter_order,very_common
enviroment,environment,missing_consonant,common
equiped,equipped,missing_consonant,common
equiptment,equipment,consonant_order,common
esential,essential,missing_consonant,common
exagerate,exaggerate,missing_consonant,common
excelent,excellent,missing_consonant,common
excercise,exercise,vowel_substitution,common
excitment,excitement,missing_vowel,common
existance,existence,vowel_substitution,common
experiance,experience,vowel_order,very_common
expierence,experience,vowel_order,common
explaination,explanation,extra_vowel,common
extention,extension,consonant_substitution,common
extremly,extremely,missing_vowel,common
facinating,fascinating,missing_consonant,common
familar,familiar,missing_vowel,common
famouse,famous,extra_vowel,uncommon
febuary,February,missing_consonant,very_common
fiery,fiery,correct_spelling,reference
finaly,finally,missing_consonant,common
florescent,fluorescent,vowel_substitution,uncommon
foriegn,foreign,vowel_order,common
foward,forward,missing_consonant,common
fourty,forty,extra_vowel,common
freind,friend,vowel_order,very_common
frend,friend,missing_vowel,common
freindly,friendly,vowel_order,common
fullfil,fulfill,double_consonant,common
futher,further,missing_consonant,common
goverment,government,missing_consonant,very_common
govenment,government,missing_consonant,common
goverment,government,missing_consonant,very_common
gratefull,grateful,double_consonant,common
greatful,grateful,vowel_substitution,common
grammer,grammar,vowel_substitution,very_common
guarentee,guarantee,vowel_order,common
gaurd,guard,vowel_order,common
guidence,guidance,vowel_order,common
harrass,harass,double_consonant,common
heigth,height,vowel_order,common
hieght,height,vowel_order,common
hierachy,hierarchy,vowel_substitution,uncommon
higeine,hygiene,vowel_order,uncommon
hopefull,hopefully,double_consonant,common
humerous,humorous,vowel_substitution,common
hygeine,hygiene,vowel_order,common
identicle,identical,vowel_substitution,common
ignorence,ignorance,vowel_substitution,common
imediately,immediately,missing_consonant,common
immediatly,immediately,missing_vowel,very_common
incidently,incidentally,missing_vowel,common
independant,independent,vowel_substitution,common
indispensible,indispensable,vowel_substitution,uncommon
infomation,information,missing_consonant,common
innoculate,inoculate,double_consonant,uncommon
inteligence,intelligence,missing_consonant,common
inteligent,intelligent,missing_consonant,common
intresting,interesting,missing_vowel,common
irresistable,irresistible,vowel_substitution,common
irrelevent,irrelevant,vowel_substitution,common
jelousy,jealousy,vowel_substitution,common
jewelery,jewelry,extra_vowel,common
judgement,judgment,extra_vowel,common
knowlege,knowledge,missing_consonant,common
labratory,laboratory,missing_vowel,common
layed,laid,vowel_substitution,common
lenght,length,consonant_order,common
liason,liaison,missing_vowel,uncommon
libary,library,missing_consonant,common
libery,liberty,vowel_substitution,uncommon
licience,license,vowel_substitution,common
lightening,lightning,extra_vowel,common
liesure,leisure,vowel_order,common
lisence,license,vowel_substitution,common
loose,lose,extra_vowel,very_common
maintainance,maintenance,extra_vowel,common
managment,management,missing_vowel,common
marraige,marriage,double_consonant,common
mathmatics,mathematics,missing_vowel,uncommon
medecine,medicine,vowel_substitution,common
memeber,member,vowel_order,common
millenium,millennium,double_consonant,common
minature,miniature,missing_vowel,common
minit,minute,missing_vowel,uncommon
mischevious,mischievous,vowel_order,common
moive,movie,vowel_order,common
movei,movie,vowel_order,uncommon
mussle,muscle,double_consonant,uncommon
naturaly,naturally,missing_consonant,common
neccessary,necessary,double_consonant,very_common
neccesary,necessary,double_consonant,common
necesary,necessary,missing_consonant,common
neice,niece,vowel_order,common
nieghbor,neighbor,vowel_order,common
nineth,ninth,extra_vowel,common
noticable,noticeable,missing_vowel,common
nucular,nuclear,consonant_order,common
ocasion,occasion,missing_consonant,common
occassion,occasion,double_consonant,common
occured,occurred,missing_consonant,very_common
occuring,occurring,missing_consonant,common
occurence,occurrence,missing_consonant,common
offence,offense,vowel_substitution,common
omision,omission,missing_consonant,uncommon
opertunity,opportunity,vowel_substitution,common
oppurtunity,opportunity,consonant_order,common
orignal,original,vowel_order,common
outragous,outrageous,missing_vowel,common
paralel,parallel,missing_consonant,common
parlament,parliament,missing_vowel,uncommon
particulary,particularly,missing_consonant,common
sudocode,pseudocode,consonant_substitution,uncommon
passtime,pastime,double_consonant,common
peacefull,peaceful,double_consonant,common
peice,piece,vowel_order,very_common
peopel,people,letter_order,common
poeple,people,vowel_order,common
pepole,people,letter_order,common
peple,people,missing_vowel,uncommon
platfarm,platform,consonant_substitution,uncommon
plantz,plants,consonant_substitution,uncommon
perfomance,performance,missing_consonant,common
permanant,permanent,vowel_substitution,common
perseverence,perseverance,vowel_substitution,uncommon
personaly,personally,missing_consonant,common
persaude,persuade,vowel_substitution,uncommon
phisical,physical,consonant_substitution,common
playright,playwright,consonant_substitution,uncommon
politican,politician,missing_vowel,common
posession,possession,missing_consonant,common
possable,possible,vowel_substitution,common
potatos,potatoes,missing_vowel,common
practicaly,practically,missing_consonant,common
prefered,preferred,missing_consonant,common
prejudice,prejudice,correct_spelling,reference
presance,presence,vowel_substitution,common
privelege,privilege,vowel_order,common
probaly,probably,missing_vowel,very_common
profesional,professional,missing_consonant,common
promiss,promise,double_consonant,uncommon
pronounciation,pronunciation,extra_vowel,common
psycology,psychology,missing_consonant,uncommon
publically,publicly,extra_consonant,common
puting,putting,missing_consonant,common
quesiton,question,letter_order,common
questionaire,questionnaire,missing_consonant,common
reccomend,recommend,double_consonant,common
recieve,receive,vowel_order,very_common
recieves,receives,vowel_order,common
recieved,received,vowel_order,very_common
recieving,receiving,vowel_order,common
reconize,recognize,missing_consonant,common
refered,referred,missing_consonant,common
relevent,relevant,vowel_substitution,very_common
religous,religious,missing_vowel,common
remeber,remember,vowel_order,common
repitition,repetition,vowel_substitution,uncommon
resistence,resistance,vowel_substitution,common
responsability,responsibility,missing_vowel,common
resturant,restaurant,missing_vowel,common
rythm,rhythm,missing_vowel,common
rythym,rhythm,extra_vowel,common
sacrafice,sacrifice,vowel_substitution,common
safty,safety,missing_vowel,common
scedule,schedule,vowel_substitution,common
sciense,science,vowel_substitution,common
secratary,secretary,vowel_substitution,common
seperate,separate,vowel_substitution,very_common
seperating,separating,vowel_substitution,common
seperated,separated,vowel_substitution,common
sergant,sergeant,vowel_substitution,uncommon
shinning,shining,double_consonant,common
sieze,seize,vowel_order,common
similiar,similar,extra_vowel,common
sinceerly,sincerely,extra_vowel,common
skillfull,skillful,double_consonant,common
speach,speech,vowel_substitution,common
stoping,stopping,missing_consonant,common
strenght,strength,consonant_order,common
studing,studying,missing_vowel,common
succesful,successful,missing_consonant,common
sucess,success,missing_consonant,very_common
sucessful,successful,missing_consonant,common
supercede,supersede,vowel_substitution,uncommon
suprise,surprise,missing_consonant,common
surley,surely,vowel_substitution,common
symetry,symmetry,missing_consonant,uncommon
temperture,temperature,vowel_order,common
tendancy,tendency,vowel_substitution,common
thier,their,vowel_order,very_common
thieves,thieves,correct_spelling,reference
thorough,thorough,correct_spelling,reference
tommorow,tomorrow,double_consonant,very_common
tomorow,tomorrow,missing_consonant,common
tounge,tongue,vowel_order,common
truely,truly,extra_vowel,common
twelth,twelfth,missing_vowel,common
tyrany,tyranny,missing_consonant,uncommon
undoubtably,undoubtedly,vowel_substitution,common
unfortunatly,unfortunately,missing_vowel,common
untill,until,double_consonant,common
usefull,useful,double_consonant,common
usualy,usually,missing_consonant,common
vaccuum,vacuum,double_consonant,common
vegatarian,vegetarian,missing_vowel,common
vehical,vehicle,vowel_substitution,common
visable,visible,vowel_substitution,common
wander,wonder,consonant_substitution,common
weath,weather,missing_vowel,uncommon
weigth,weight,vowel_order,common
wellcome,welcome,double_consonant,common
wheter,whether,missing_consonant,common
wich,which,missing_consonant,common
wierd,weird,vowel_order,very_common
wieght,weight,vowel_order,common
writting,writing,double_consonant,common
yatch,yacht,missing_consonant,uncommon
yeild,yield,vowel_order,common